Year,Trade Flow,Reporter,Reporter ISO,Partner,Partner ISO,export_ij,gdp_i,gdp_growth_i,gdp_j,gdp_growth_j,ec_index_i,ec_index_j,population_i,population_j,distance,contig,comlang_off,colony,dummy_2019,dummy_2020,ln_export_ij,ln_gdp_i,gdp_decline_i,ln_gdp_j,gdp_decline_j,ln_ec_index_i,ln_ec_index_j,ln_population_i,ln_population_j,ln_distance,ln_gdp_i*ec_index_i,ln_gdp_j*ec_index_j
2019,Export,Argentina,ARG,Cambodia,KHM,14332390,4.45E+11,-2.088014861,27089389787,7.054106932,50,30.8,44938712,16486542,16965,0,0,0,1,0,16.47803257,26.82233962,2.088014861,24.02240797,-7.054106932,3.912023005,3.42751469,17.62081016,16.61805497,9.738907677,1341.116981,739.8901654
2019,Export,Argentina,ARG,Cameroon,CMR,46893276,4.45E+11,-2.088014861,39007354359,3.720711423,50,32,44938712,25876387,8456.569,0,0,0,1,0,17.66338485,26.82233962,2.088014861,24.38701604,-3.720711423,3.912023005,3.465735903,17.62081016,17.06884141,9.042698815,1341.116981,780.3845132
2019,Export,Argentina,ARG,Canada,CAN,651122374,4.45E+11,-2.088014861,1.74E+12,1.861415379,50,91.8,44938712,37593384,8970.104,0,0,0,1,0,20.29420816,26.82233962,2.088014861,28.18581386,-1.861415379,3.912023005,4.519612298,17.62081016,17.44233864,9.101652549,1341.116981,2587.457713
2019,Export,Argentina,ARG,Sri Lanka,LKA,6065237,4.45E+11,-2.088014861,83975584254,2.255176529,50,49.6,44938712,21803000,14774.54,0,0,0,1,0,15.61808418,26.82233962,2.088014861,25.15379193,-2.255176529,3.912023005,3.903990834,17.62081016,16.89755813,9.600660708,1341.116981,1247.62808
2019,Export,Argentina,ARG,Chile,CHL,3069240819,4.45E+11,-2.088014861,2.79E+11,0.942005307,50,67,44938712,18952035,1128.317,1,1,0,1,0,21.84469608,26.82233962,2.088014861,26.3558566,-0.942005307,3.912023005,4.204692619,17.62081016,16.75742187,7.028482421,1341.116981,1765.842392
2019,Export,Argentina,ARG,China,CHN,6817852799,4.45E+11,-2.088014861,1.43E+13,5.949714233,50,68.8,44938712,1397715000,19297.47,0,0,0,1,0,22.64281042,26.82233962,2.088014861,30.28987407,-5.949714233,3.912023005,4.231203745,17.62081016,21.0581046,9.867729278,1341.116981,2083.943336
2019,Export,Argentina,ARG,Colombia,COL,896672874,4.45E+11,-2.088014861,3.23E+11,3.281116805,50,60.5,44938712,50339443,4706.263,0,1,0,1,0,20.61420166,26.82233962,2.088014861,26.50224854,-3.281116805,3.912023005,4.102643365,17.62081016,17.73429948,8.456649454,1341.116981,1603.386037
2019,Export,Argentina,ARG,Comoros,COM,953538,4.45E+11,-2.088014861,1165839900,1.986109505,50,13.1,44938712,850891,10331.04,0,0,0,1,0,13.76793456,26.82233962,2.088014861,20.87670761,-1.986109505,3.912023005,2.57261223,17.62081016,13.65403931,9.242908235,1341.116981,273.4848697
2019,Export,Argentina,ARG,Congo,COG,24121126,4.45E+11,-2.088014861,12693562948,0.232123661,50,14,44938712,5380504,8261.97,0,0,0,1,0,16.99859861,26.82233962,2.088014861,23.26436085,-0.232123661,3.912023005,2.63905733,17.62081016,15.49829261,9.019418337,1341.116981,325.7010519
2019,Export,Argentina,ARG,Costa Rica,CRI,106722328,4.45E+11,-2.088014861,63951114302,2.167951807,50,64.1,44938712,5047561,5653.427,0,1,0,1,0,18.48574095,26.82233962,2.088014861,24.88138479,-2.167951807,3.912023005,4.160444364,17.62081016,15.43441571,8.640017189,1341.116981,1594.896765
2019,Export,Argentina,ARG,Croatia,HRV,33508354,4.45E+11,-2.088014861,60752588976,2.858925968,50,84.3,44938712,4065253,11656.09,0,0,0,1,0,17.32730534,26.82233962,2.088014861,24.83007554,-2.858925968,3.912023005,4.434381865,17.62081016,15.21798654,9.363584069,1341.116981,2093.175368
2019,Export,Argentina,ARG,Cyprus,CYP,40079049,4.45E+11,-2.088014861,24949065264,3.075791962,50,85.5,44938712,1198574,12291.57,0,0,0,1,0,17.50636429,26.82233962,2.088014861,23.94010219,-3.075791962,3.912023005,4.448516376,17.62081016,13.99664307,9.416668941,1341.116981,2046.878738
2019,Export,Argentina,ARG,Czechia,CZE,40101808,4.45E+11,-2.088014861,2.52E+11,3.029478257,50,85.3,44938712,10671870,11836.83,0,0,0,1,0,17.50693198,26.82233962,2.088014861,26.25466916,-3.029478257,3.912023005,4.446174454,17.62081016,16.18312187,9.378971136,1341.116981,2239.52328
2019,Export,Argentina,ARG,Benin,BEN,1606202,4.45E+11,-2.088014861,14391686309,6.865687336,50,21,44938712,11801151,7854.464,0,0,0,1,0,14.28938294,26.82233962,2.088014861,23.38991654,-6.865687336,3.912023005,3.044522438,17.62081016,16.28370763,8.968837312,1341.116981,491.1882473
2019,Export,Argentina,ARG,Denmark,DNK,194607855,4.45E+11,-2.088014861,3.48E+11,2.114664208,50,94.2,44938712,5814422,12089.47,0,0,0,1,0,19.08649709,26.82233962,2.088014861,26.57420603,-2.114664208,3.912023005,4.545420182,17.62081016,15.57585194,9.400090105,1341.116981,2503.290208
2019,Export,Argentina,ARG,Dominican Rep.,DOM,171776013,4.45E+11,-2.088014861,88941299734,5.05216802,50,60.4,44938712,10738957,6036.692,0,1,0,1,0,18.96170194,26.82233962,2.088014861,25.21124244,-5.05216802,3.912023005,4.100989105,17.62081016,16.18938853,8.705611459,1341.116981,1522.759043
2019,Export,Argentina,ARG,Ecuador,ECU,281656268,4.45E+11,-2.088014861,1.08E+11,0.012105103,50,39.9,44938712,17373657,4360.514,0,1,0,1,0,19.45619798,26.82233962,2.088014861,25.40639656,-0.012105103,3.912023005,3.686376324,17.62081016,16.67046565,8.380345219,1341.116981,1013.715223
2019,Export,Argentina,ARG,El Salvador,SLV,40163346,4.45E+11,-2.088014861,26896660000,2.635146667,50,37.2,44938712,6453550,6280.052,0,1,0,1,0,17.50846535,26.82233962,2.088014861,24.01526795,-2.635146667,3.912023005,3.616308761,17.62081016,15.68014092,8.74513354,1341.116981,893.3679678
2019,Export,Argentina,ARG,Ethiopia,ETH,20109593,4.45E+11,-2.088014861,95912590628,8.364085699,50,31.1,44938712,112078727,11256.4,0,0,0,1,0,16.81670752,26.82233962,2.088014861,25.2867031,-8.364085699,3.912023005,3.437207819,17.62081016,18.5347121,9.328692135,1341.116981,786.4164664
2019,Export,Argentina,ARG,Estonia,EST,1960449,4.45E+11,-2.088014861,31045591753,4.096342644,50,90.7,44938712,1326898,12925.75,0,0,0,1,0,14.48868409,26.82233962,2.088014861,24.15872266,-4.096342644,3.912023005,4.507557357,17.62081016,14.09835445,9.466976725,1341.116981,2191.196146
2019,Export,Argentina,ARG,Finland,FIN,7323644,4.45E+11,-2.088014861,2.69E+11,1.343755373,50,94.4,44938712,5521606,12971.3,0,0,0,1,0,15.80661858,26.82233962,2.088014861,26.31716648,-1.343755373,3.912023005,4.547541073,17.62081016,15.52417932,9.470494504,1341.116981,2484.340516
2019,Export,Argentina,ARG,France,FRA,349463814,4.45E+11,-2.088014861,2.73E+12,1.842971814,50,90.4,44938712,67248926,11072.25,0,0,0,1,0,19.67191058,26.82233962,2.088014861,28.63490872,-1.842971814,3.912023005,4.504244267,17.62081016,18.02391161,9.312197257,1341.116981,2588.595748
2019,Export,Argentina,ARG,Djibouti,DJI,2841098,4.45E+11,-2.088014861,3324634256,7.770497257,50,28.6,44938712,973557,11807.19,0,0,0,1,0,14.85970116,26.82233962,2.088014861,21.92462551,-7.770497257,3.912023005,3.353406718,17.62081016,13.78871165,9.376463947,1341.116981,627.0442895
2019,Export,Argentina,ARG,Gabon,GAB,9448767,4.45E+11,-2.088014861,16874450215,3.944946204,50,38.3,44938712,2172578,8037.772,0,0,0,1,0,16.06139481,26.82233962,2.088014861,23.54906649,-3.944946204,3.912023005,3.645449896,17.62081016,14.59142504,8.991907209,1341.116981,901.9292467
2019,Export,Argentina,ARG,Georgia,GEO,17088554,4.45E+11,-2.088014861,17477255562,4.982350475,50,73.1,44938712,3720161,13503.55,0,0,0,1,0,16.65391944,26.82233962,2.088014861,23.58416619,-4.982350475,3.912023005,4.291828367,17.62081016,15.1292775,9.510707893,1341.116981,1724.002549
2019,Export,Argentina,ARG,Germany,DEU,941690786,4.45E+11,-2.088014861,3.89E+12,1.055508247,50,92.9,44938712,83092962,11512.14,0,0,0,1,0,20.66318753,26.82233962,2.088014861,28.98900088,-1.055508247,3.912023005,4.531523646,17.62081016,18.23547056,9.35115741,1341.116981,2693.078181
2019,Export,Argentina,ARG,Ghana,GHA,83516092,4.45E+11,-2.088014861,67234292583,6.507774788,50,42.8,44938712,30417858,7560.425,0,0,0,1,0,18.24054989,26.82233962,2.088014861,24.93144926,-6.507774788,3.912023005,3.756538103,17.62081016,17.23054043,8.930682685,1341.116981,1067.066028
2019,Export,Argentina,ARG,Greece,GRC,152229608,4.45E+11,-2.088014861,2.05E+11,1.856675112,50,77.6,44938712,10721582,11711.41,0,0,0,1,0,18.84090052,26.82233962,2.088014861,26.04786967,-1.856675112,3.912023005,4.351567427,17.62081016,16.18776928,9.368318859,1341.116981,2021.314686
2019,Export,Argentina,ARG,Guatemala,GTM,144645716,4.45E+11,-2.088014861,77020015201,3.866856575,50,37.5,44938712,16604026,6446.824,0,1,0,1,0,18.78979797,26.82233962,2.088014861,25.06733116,-3.866856575,3.912023005,3.624340933,17.62081016,16.62515575,8.771342885,1341.116981,940.0249186
2019,Export,Argentina,ARG,Guinea,GIN,1343705,4.45E+11,-2.088014861,13513809258,5.646175568,50,14.3,44938712,12771246,6668.47,0,0,0,1,0,14.11094128,26.82233962,2.088014861,23.32697791,-5.646175568,3.912023005,2.660259537,17.62081016,16.3627068,8.805145727,1341.116981,333.5757841
2019,Export,Argentina,ARG,Haiti,HTI,8618335,4.45E+11,-2.088014861,14332163266,-1.68198513,50,21.2,44938712,11263079,6101.208,0,0,0,1,0,15.96940247,26.82233962,2.088014861,23.38577203,1.68198513,3.912023005,3.054001182,17.62081016,16.23704059,8.716242063,1341.116981,495.778367
2019,Export,Argentina,ARG,Honduras,HND,56194318,4.45E+11,-2.088014861,25089976947,2.653066255,50,42.4,44938712,9746115,6217.953,0,1,0,1,0,17.84432621,26.82233962,2.088014861,23.94573428,-2.653066255,3.912023005,3.747148362,17.62081016,16.0923793,8.735196032,1341.116981,1015.299133
2019,Export,Argentina,ARG,"China, Hong Kong SAR",HKG,234848743,4.45E+11,-2.088014861,3.63E+11,-1.67975617,50,90.5,44938712,7507400,18478.89,0,0,0,1,0,19.27445222,26.82233962,2.088014861,26.61771275,1.67975617,3.912023005,4.505349851,17.62081016,15.83139976,9.824384278,1341.116981,2408.903004
2019,Export,Argentina,ARG,Hungary,HUN,9134445,4.45E+11,-2.088014861,1.64E+11,4.641297075,50,78.9,44938712,9771141,11957.08,0,0,0,1,0,16.02756299,26.82233962,2.088014861,25.82010329,-4.641297075,3.912023005,4.368181228,17.62081016,16.0949438,9.389078851,1341.116981,2037.20615
2019,Export,Argentina,ARG,Iceland,ISL,3464693,4.45E+11,-2.088014861,24857740445,2.434823,50,84.9,44938712,360563,11455.87,0,0,0,1,0,15.05813459,26.82233962,2.088014861,23.93643503,-2.434823,3.912023005,4.441474093,17.62081016,12.79542198,9.346257541,1341.116981,2032.203334
2019,Export,Argentina,ARG,Indonesia,IDN,1622643164,4.45E+11,-2.088014861,1.12E+12,5.018159715,50,50.1,44938712,270625567,15235.78,0,0,0,1,0,21.20732224,26.82233962,2.088014861,27.74353697,-5.018159715,3.912023005,3.914021008,17.62081016,19.41624675,9.631401888,1341.116981,1389.951202
2019,Export,Argentina,ARG,Iran,IRN,695652326,4.45E+11,-2.088014861,2.58E+11,-6.78422367,50,76.9,44938712,82913893,13803.13,0,0,0,1,0,20.36036056,26.82233962,2.088014861,26.27717458,6.78422367,3.912023005,4.342505877,17.62081016,18.23331319,9.532650657,1341.116981,2020.714725
2019,Export,Argentina,ARG,Iraq,IRQ,192056626,4.45E+11,-2.088014861,2.22E+11,4.445049635,50,25.3,44938712,39309789,13110.86,0,0,0,1,0,19.07330081,26.82233962,2.088014861,26.12789627,-4.445049635,3.912023005,3.230804396,17.62081016,17.48698413,9.481196173,1341.116981,661.0357755
